371.35974,687.66626,484.596,720.78674,411.41858,760.7479,444.57422,647.6736
371.3154,687.70197,484.6362,720.8519,411.30527,760.82416,444.61743,647.6926
371.32498,687.63654,484.59976,720.9025,411.40762,760.7731,444.611,647.7395
371.37003,687.67633,484.59424,720.8604,411.37863,760.74335,444.59567,647.73206
371.35294,687.638,484.60025,720.81287,411.40533,760.7861,444.59198,647.6334
371.30096,687.78876,484.6067,720.8555,411.4196,760.85394,444.59796,647.6904
371.33435,687.606,484.629,720.8391,411.4574,760.75757,444.62387,647.8766
371.37842,687.6966,484.58734,720.7583,411.43948,760.7985,444.6099,647.654
371.34186,687.71625,484.60757,720.7711,411.38846,760.74335,444.61102,647.6547
371.2976,687.66766,484.52304,720.89026,411.39117,760.7512,444.60168,647.72974
371.3234,687.6087,484.5954,720.9017,411.45554,760.69617,444.58005,647.7552
371.38712,687.6345,484.58704,720.7391,411.3981,760.8159,444.57452,647.7045
371.35498,687.6576,484.5771,720.87006,411.4053,760.6906,444.6009,647.81464
371.36475,687.6219,484.5948,720.691,411.35046,760.7942,444.61133,647.7078
371.39288,687.7021,484.57892,720.8828,411.39893,760.8365,444.61063,647.71106
371.305,687.6929,484.57953,720.84216,411.3707,760.79144,444.54135,647.68335
371.38568,687.731,484.6126,720.8621,411.41852,760.76575,444.61624,647.77905
371.43185,687.7218,484.61386,720.8788,411.37402,760.75543,444.6076,647.67346
371.35938,687.7009,484.59875,720.848,411.38455,760.71844,444.6079,647.79974
371.3504,687.6817,484.58884,720.8148,411.4401,760.7411,444.5451,647.6786
371.30533,687.79266,484.63507,720.8505,411.39395,760.7387,444.60846,647.6402
371.35568,687.63434,484.61707,720.875,411.42432,760.73566,444.62866,647.691
371.31235,687.7294,484.6153,720.87177,411.43027,760.7489,444.6193,647.80585
371.34888,687.5907,484.6269,720.9322,411.38126,760.74896,444.60294,647.7211
371.37418,687.60034,484.58395,720.8446,411.39877,760.6947,444.6015,647.6988
371.3707,687.7336,484.62958,720.82,411.41074,760.8256,444.6207,647.68964
371.35086,687.7256,484.67322,720.9046,411.31747,760.78754,444.62308,647.68317
371.33505,687.6412,484.59473,720.836,411.3924,760.7394,444.62943,647.66565
371.29736,687.67316,484.61362,720.73535,411.37643,760.8309,444.6319,647.8002
371.31445,687.6233,484.60327,720.87585,411.31992,760.8314,444.62128,647.75256
371.36325,687.6775,484.57986,720.8574,411.3682,760.7315,444.57806,647.7063
